# M107 E(B-V)=0.33, m-M = 14.03
# 	RA		Dec		(B-V)_0	M_u	M_B	M_V	u	B	V	I
288	16 32 48.912	-13 07 30.72	0.52	4.11	3.51	2.99	19.8649	18.8943	18.0921	16.9249
292	16 32 48.937	-12 57 16.57	85.88	84.87	92.05	6.18	99.9999	99.9999	18.6126	16.6960
299	16 32 48.723	-13 04 48.68	0.59	3.34	2.59	2.01	19.0880	17.9694	17.1013	15.9460
312	16 32 48.311	-13 09 11.99	0.40	84.25	4.81	4.42	99.9999	20.2064	19.5192	18.1829
322	16 32 48.047	-13 01 33.59	0.84	3.75	2.69	1.85	19.4966	18.0426	16.9382	15.6635
327	16 32 47.976	-12 58 44.17	1.21	84.25	4.45	3.23	99.9999	19.7683	18.3117	16.6194
337	16 32 47.797	-12 57 03.23	0.86	4.17	2.89	2.02	19.9203	18.2396	17.1118	15.7295
352	16 32 47.200	-12 55 38.55	0.79	3.92	2.94	2.15	19.6702	18.2998	17.2402	15.8931
354	16 32 47.105	-13 00 51.58	0.69	4.90	4.22	3.53	20.6459	19.5863	18.6237	17.3566
388	16 32 46.130	-12 55 07.44	0.81	3.54	2.71	1.90	19.2868	18.0637	16.9889	15.7665
397	16 32 45.831	-13 02 48.86	0.55	1.90	1.19	0.65	17.6518	16.5723	15.7426	14.6785
403	16 32 45.778	-13 02 10.68	0.60	1.55	0.76	0.17	17.2981	16.1363	15.2630	14.1710
407	16 32 45.639	-13 06 18.17	0.53	1.69	0.99	0.46	17.4448	16.3653	15.5560	14.5639
424	16 32 45.223	-13 02 04.53	0.92	4.51	3.52	2.60	20.2583	18.8622	17.6848	15.4522
427	16 32 45.114	-13 05 02.93	1.18	4.91	3.13	1.95	20.6552	18.4567	17.0313	15.2234
438	16 32 44.803	-13 07 14.18	0.94	3.54	2.26	1.32	19.2841	17.6004	16.4056	15.0728
454	16 32 44.533	-13 00 40.44	0.77	2.15	1.10	0.33	17.9010	16.4592	15.4238	14.2191
470	16 32 44.030	-13 14 52.88	1.24	4.74	3.01	1.78	20.4812	18.3318	16.8524	15.0589
473	16 32 44.134	-13 04 01.67	0.92	-1.19	-2.45	-3.37	14.5546	12.8979	11.7179	10.3721
480	16 32 43.921	-12 58 22.79	0.67	3.38	2.55	1.87	19.1313	17.9136	16.9669	15.8218
488	16 32 43.629	-13 10 20.24	0.70	0.97	0.05	-0.64	16.7181	15.4197	14.4506	13.3208
492	16 32 43.414	-13 15 18.45	0.51	2.29	1.69	1.18	18.0386	17.0735	16.2814	15.2432
497	16 32 43.479	-13 01 39.56	0.45	84.25	4.92	4.47	99.9999	20.3041	19.5684	18.5831
510	16 32 43.264	-13 00 39.99	0.65	1.20	0.32	-0.33	16.9451	15.6852	14.7614	13.6633
571	16 32 42.229	-13 05 32.87	0.64	4.40	3.89	3.25	20.1549	19.2584	18.3467	17.2968
575	16 32 42.089	-13 13 28.69	0.72	3.86	3.04	2.32	19.6068	18.4050	17.4132	16.1963
594	16 32 41.797	-13 12 40.56	0.59	2.49	1.66	1.07	18.2413	17.0352	16.1621	15.1086
614	16 32 41.704	-13 03 18.61	84.41	84.86	91.93	7.51	99.9999	99.9999	19.9937	18.7871
625	16 32 41.583	-12 59 06.67	0.30	84.25	3.85	3.55	99.9999	19.2532	18.6586	18.0036
667	16 32 41.044	-12 59 03.37	84.53	84.86	91.94	7.41	99.9999	99.9999	19.8871	18.3723
