HD137387     -15.0817   -0.0382233      39.8926     -24.1382     -27.0521
      29.8383
2.21802      2.21467      2.15589      2.25280      2.43483      2.35657
 -705.0002   -0.017696   -0.016060   -0.016307   -0.013076   -0.014890   -0.024717
 -697.5002   -0.016400   -0.014347   -0.015819   -0.011225   -0.013421   -0.023311
 -690.0002   -0.014879   -0.012837   -0.014622   -0.009249   -0.011594   -0.022069
 -682.5002   -0.012629   -0.011594   -0.012475   -0.007718   -0.009689   -0.021241
 -675.0002   -0.009781   -0.009503   -0.009973   -0.006958   -0.008027   -0.020009
 -667.5002   -0.006707   -0.005848   -0.007956   -0.006534   -0.006255   -0.017679
 -660.0002   -0.004046   -0.001475   -0.006690   -0.005276   -0.003417   -0.014469
 -652.5002   -0.002189    0.001944   -0.005888   -0.002060    0.000461   -0.011330
 -645.0002   -0.000599    0.003423   -0.004857    0.002060    0.003916   -0.008504
 -637.5002    0.001384    0.003711   -0.003212    0.004684    0.005288   -0.005863
 -630.0002    0.003460    0.004000   -0.000951    0.005334    0.004389   -0.003553
 -622.5002    0.004817    0.004901    0.001225    0.005717    0.002616   -0.001763
 -615.0002    0.005336    0.005975    0.002547    0.007240    0.001268   -0.000813
 -607.5002    0.005625    0.006429    0.003294    0.009910    0.000930   -0.000577
 -600.0002    0.006573    0.006411    0.004362    0.012668    0.001077   -0.000706
 -592.5002    0.008541    0.006703    0.006411    0.014415    0.001445   -0.000487
 -585.0002    0.010946    0.007766    0.008778    0.015217    0.002468    0.000145
 -577.5002    0.013003    0.009117    0.010220    0.015773    0.004878    0.001006
 -570.0002    0.013719    0.010223    0.009692    0.016391    0.008601    0.002131
 -562.5002    0.013389    0.011043    0.007776    0.017332    0.012671    0.003652
 -555.0001    0.013324    0.011980    0.005737    0.018625    0.016322    0.005789
 -547.5001    0.014401    0.013368    0.004101    0.019900    0.018792    0.008397
 -540.0001    0.015598    0.015293    0.003329    0.020710    0.019564    0.010965
 -532.5001    0.015506    0.017031    0.003505    0.020764    0.018429    0.012859
 -525.0001    0.014193    0.017271    0.004264    0.020042    0.016234    0.013248
 -517.5001    0.012842    0.015332    0.004973    0.018787    0.014258    0.011720
 -510.0001    0.012311    0.011620    0.005042    0.017328    0.013412    0.009334
 -502.5001    0.012211    0.007578    0.004761    0.016086    0.013590    0.007180
 -495.0001    0.012037    0.004614    0.005051    0.014935    0.013997    0.005865
 -487.5001    0.011258    0.003306    0.006315    0.013414    0.013773    0.004981
 -480.0001    0.010381    0.003385    0.007027    0.010812    0.012412    0.003478
 -472.5001    0.010184    0.004334    0.006533    0.007327    0.010391    0.001508
 -465.0001    0.010365    0.005191    0.005334    0.004307    0.008768   -0.000285
 -457.5001    0.010343    0.005265    0.004278    0.003391    0.008361   -0.001256
 -450.0001    0.010074    0.004668    0.003903    0.004995    0.008768   -0.001247
 -442.5001    0.010222    0.004033    0.004483    0.008198    0.009450   -0.000949
 -435.0001    0.011863    0.004061    0.006008    0.011746    0.009970   -0.000952
 -427.5001    0.015137    0.004570    0.007412    0.014893    0.009869   -0.001271
 -420.0001    0.018794    0.004977    0.007857    0.016861    0.008936   -0.001783
 -412.5001    0.021089    0.004897    0.007182    0.016912    0.007385   -0.002181
 -405.0001    0.020950    0.004495    0.006116    0.015329    0.005589   -0.002358
 -397.5001    0.018946    0.004277    0.005161    0.013347    0.004639   -0.002207
 -390.0001    0.016719    0.004183    0.004122    0.012284    0.005085   -0.001780
 -382.5001    0.015197    0.003878    0.003211    0.011978    0.006235   -0.000954
 -375.0001    0.014229    0.003516    0.002648    0.011565    0.006796    0.000141
 -367.5001    0.013620    0.003385    0.002537    0.010469    0.005967    0.001408
 -360.0001    0.012950    0.003569    0.002770    0.008561    0.003646    0.002051
 -352.5001    0.012033    0.003784    0.002885    0.006292    0.000764    0.001484
 -345.0001    0.011082    0.004120    0.002698    0.004162   -0.001088   -0.000090
 -337.5001    0.010576    0.004377    0.002454    0.002582   -0.001480   -0.001700
 -330.0001    0.010883    0.004261    0.002120    0.002143   -0.001121   -0.002601
 -322.5001    0.011763    0.003919    0.002001    0.002505   -0.000790   -0.002846
 -315.0001    0.012460    0.003681    0.002964    0.002771   -0.000577   -0.003217
 -307.5001    0.012532    0.003448    0.005332    0.002177   -0.000526   -0.004280
 -300.0001    0.012141    0.003685    0.008053    0.000867   -0.000286   -0.005762
 -292.5001    0.011618    0.005000    0.009641   -0.000245    0.000309   -0.007105
 -285.0001    0.011212    0.007226    0.009648   -0.000172    0.001521   -0.007381
 -277.5001    0.010705    0.009425    0.009012    0.001217    0.003415   -0.006075
 -270.0001    0.010207    0.010734    0.008867    0.003422    0.005585   -0.003486
 -262.5001    0.009844    0.011469    0.009776    0.005836    0.007481   -0.001309
 -255.0001    0.009613    0.012195    0.011504    0.007764    0.009069   -0.000457
 -247.5001    0.009456    0.012834    0.012946    0.008860    0.010446   -0.000489
 -240.0001    0.009284    0.013103    0.013124    0.009649    0.011153   -0.000158
 -232.5001    0.009740    0.012857    0.012386    0.010611    0.011028    0.000503
 -225.0001    0.011314    0.012610    0.011661    0.011740    0.010921    0.000923
 -217.5001    0.013492    0.013326    0.011768    0.012338    0.011463    0.001171
 -210.0001    0.015485    0.014847    0.012647    0.011830    0.012892    0.001591
 -202.5001    0.016559    0.016088    0.013949    0.010727    0.014962    0.002011
 -195.0001    0.016453    0.016454    0.015454    0.010008    0.016730    0.002180
 -187.5001    0.015677    0.016425    0.016208    0.010576    0.017386    0.002299
 -180.0000    0.015056    0.017029    0.015898    0.011887    0.017077    0.002936
 -172.5000    0.015008    0.018811    0.015602    0.013396    0.016589    0.004889
 -165.0000    0.015608    0.021179    0.016077    0.014782    0.016479    0.007871
 -157.5000    0.016451    0.023472    0.017170    0.015598    0.017286    0.010623
 -150.0000    0.017324    0.025208    0.018292    0.015966    0.019072    0.011736
 -142.5000    0.018532    0.026103    0.018960    0.016342    0.021223    0.011245
 -135.0000    0.021130    0.026454    0.019394    0.017055    0.023166    0.009951
 -127.5000    0.025039    0.027049    0.020455    0.017603    0.024551    0.008752
 -120.0000    0.029049    0.028232    0.022243    0.017466    0.025179    0.008176
 -112.5000    0.031488    0.029570    0.023464    0.016779    0.024726    0.008702
 -105.0000    0.032180    0.030463    0.023001    0.016572    0.023452    0.010179
  -97.5000    0.031895    0.030978    0.021561    0.017185    0.021960    0.012041
  -90.0000    0.031878    0.031479    0.021171    0.018144    0.020580    0.014075
  -82.5000    0.032576    0.032282    0.022954    0.019133    0.019902    0.016037
  -75.0000    0.034159    0.033584    0.026317    0.020536    0.020788    0.017599
  -67.5000    0.036928    0.035342    0.029728    0.022786    0.024063    0.018413
  -60.0000    0.041301    0.037444    0.031804    0.026777    0.030425    0.018578
